[('W', 0, 0, 'D', 0), 'NONE']
[('W', 0, 0, 'D', 25), 'STAY']
[('W', 0, 0, 'D', 50), 'STAY']
[('W', 0, 0, 'D', 75), 'STAY']
[('W', 0, 0, 'D', 100), 'STAY']
[('W', 0, 0, 'R', 0), 'NONE']
[('W', 0, 0, 'R', 25), 'STAY']
[('W', 0, 0, 'R', 50), 'STAY']
[('W', 0, 0, 'R', 75), 'STAY']
[('W', 0, 0, 'R', 100), 'STAY']
[('W', 0, 1, 'D', 0), 'NONE']
[('W', 0, 1, 'D', 25), 'STAY']
[('W', 0, 1, 'D', 50), 'STAY']
[('W', 0, 1, 'D', 75), 'STAY']
[('W', 0, 1, 'D', 100), 'SHOOT']
[('W', 0, 1, 'R', 0), 'NONE']
[('W', 0, 1, 'R', 25), 'STAY']
[('W', 0, 1, 'R', 50), 'STAY']
[('W', 0, 1, 'R', 75), 'STAY']
[('W', 0, 1, 'R', 100), 'SHOOT']
[('W', 0, 2, 'D', 0), 'NONE']
[('W', 0, 2, 'D', 25), 'STAY']
[('W', 0, 2, 'D', 50), 'STAY']
[('W', 0, 2, 'D', 75), 'STAY']
[('W', 0, 2, 'D', 100), 'STAY']
[('W', 0, 2, 'R', 0), 'NONE']
[('W', 0, 2, 'R', 25), 'STAY']
[('W', 0, 2, 'R', 50), 'STAY']
[('W', 0, 2, 'R', 75), 'STAY']
[('W', 0, 2, 'R', 100), 'STAY']
[('W', 0, 3, 'D', 0), 'NONE']
[('W', 0, 3, 'D', 25), 'STAY']
[('W', 0, 3, 'D', 50), 'STAY']
[('W', 0, 3, 'D', 75), 'STAY']
[('W', 0, 3, 'D', 100), 'STAY']
[('W', 0, 3, 'R', 0), 'NONE']
[('W', 0, 3, 'R', 25), 'SHOOT']
[('W', 0, 3, 'R', 50), 'STAY']
[('W', 0, 3, 'R', 75), 'STAY']
[('W', 0, 3, 'R', 100), 'STAY']
[('W', 1, 0, 'D', 0), 'NONE']
[('W', 1, 0, 'D', 25), 'STAY']
[('W', 1, 0, 'D', 50), 'STAY']
[('W', 1, 0, 'D', 75), 'STAY']
[('W', 1, 0, 'D', 100), 'STAY']
[('W', 1, 0, 'R', 0), 'NONE']
[('W', 1, 0, 'R', 25), 'STAY']
[('W', 1, 0, 'R', 50), 'STAY']
[('W', 1, 0, 'R', 75), 'STAY']
[('W', 1, 0, 'R', 100), 'STAY']
[('W', 1, 1, 'D', 0), 'NONE']
[('W', 1, 1, 'D', 25), 'STAY']
[('W', 1, 1, 'D', 50), 'STAY']
[('W', 1, 1, 'D', 75), 'STAY']
[('W', 1, 1, 'D', 100), 'SHOOT']
[('W', 1, 1, 'R', 0), 'NONE']
[('W', 1, 1, 'R', 25), 'STAY']
[('W', 1, 1, 'R', 50), 'STAY']
[('W', 1, 1, 'R', 75), 'STAY']
[('W', 1, 1, 'R', 100), 'SHOOT']
[('W', 1, 2, 'D', 0), 'NONE']
[('W', 1, 2, 'D', 25), 'STAY']
[('W', 1, 2, 'D', 50), 'STAY']
[('W', 1, 2, 'D', 75), 'STAY']
[('W', 1, 2, 'D', 100), 'STAY']
[('W', 1, 2, 'R', 0), 'NONE']
[('W', 1, 2, 'R', 25), 'STAY']
[('W', 1, 2, 'R', 50), 'STAY']
[('W', 1, 2, 'R', 75), 'STAY']
[('W', 1, 2, 'R', 100), 'STAY']
[('W', 1, 3, 'D', 0), 'NONE']
[('W', 1, 3, 'D', 25), 'STAY']
[('W', 1, 3, 'D', 50), 'STAY']
[('W', 1, 3, 'D', 75), 'STAY']
[('W', 1, 3, 'D', 100), 'STAY']
[('W', 1, 3, 'R', 0), 'NONE']
[('W', 1, 3, 'R', 25), 'SHOOT']
[('W', 1, 3, 'R', 50), 'STAY']
[('W', 1, 3, 'R', 75), 'STAY']
[('W', 1, 3, 'R', 100), 'STAY']
[('W', 2, 0, 'D', 0), 'NONE']
[('W', 2, 0, 'D', 25), 'STAY']
[('W', 2, 0, 'D', 50), 'STAY']
[('W', 2, 0, 'D', 75), 'STAY']
[('W', 2, 0, 'D', 100), 'STAY']
[('W', 2, 0, 'R', 0), 'NONE']
[('W', 2, 0, 'R', 25), 'STAY']
[('W', 2, 0, 'R', 50), 'STAY']
[('W', 2, 0, 'R', 75), 'STAY']
[('W', 2, 0, 'R', 100), 'STAY']
[('W', 2, 1, 'D', 0), 'NONE']
[('W', 2, 1, 'D', 25), 'STAY']
[('W', 2, 1, 'D', 50), 'STAY']
[('W', 2, 1, 'D', 75), 'STAY']
[('W', 2, 1, 'D', 100), 'SHOOT']
[('W', 2, 1, 'R', 0), 'NONE']
[('W', 2, 1, 'R', 25), 'STAY']
[('W', 2, 1, 'R', 50), 'STAY']
[('W', 2, 1, 'R', 75), 'STAY']
[('W', 2, 1, 'R', 100), 'SHOOT']
[('W', 2, 2, 'D', 0), 'NONE']
[('W', 2, 2, 'D', 25), 'STAY']
[('W', 2, 2, 'D', 50), 'STAY']
[('W', 2, 2, 'D', 75), 'STAY']
[('W', 2, 2, 'D', 100), 'STAY']
[('W', 2, 2, 'R', 0), 'NONE']
[('W', 2, 2, 'R', 25), 'STAY']
[('W', 2, 2, 'R', 50), 'STAY']
[('W', 2, 2, 'R', 75), 'STAY']
[('W', 2, 2, 'R', 100), 'STAY']
[('W', 2, 3, 'D', 0), 'NONE']
[('W', 2, 3, 'D', 25), 'STAY']
[('W', 2, 3, 'D', 50), 'STAY']
[('W', 2, 3, 'D', 75), 'STAY']
[('W', 2, 3, 'D', 100), 'STAY']
[('W', 2, 3, 'R', 0), 'NONE']
[('W', 2, 3, 'R', 25), 'SHOOT']
[('W', 2, 3, 'R', 50), 'STAY']
[('W', 2, 3, 'R', 75), 'STAY']
[('W', 2, 3, 'R', 100), 'STAY']
[('N', 0, 0, 'D', 0), 'NONE']
[('N', 0, 0, 'D', 25), 'STAY']
[('N', 0, 0, 'D', 50), 'STAY']
[('N', 0, 0, 'D', 75), 'STAY']
[('N', 0, 0, 'D', 100), 'DOWN']
[('N', 0, 0, 'R', 0), 'NONE']
[('N', 0, 0, 'R', 25), 'STAY']
[('N', 0, 0, 'R', 50), 'STAY']
[('N', 0, 0, 'R', 75), 'STAY']
[('N', 0, 0, 'R', 100), 'STAY']
[('N', 0, 1, 'D', 0), 'NONE']
[('N', 0, 1, 'D', 25), 'STAY']
[('N', 0, 1, 'D', 50), 'STAY']
[('N', 0, 1, 'D', 75), 'STAY']
[('N', 0, 1, 'D', 100), 'STAY']
[('N', 0, 1, 'R', 0), 'NONE']
[('N', 0, 1, 'R', 25), 'STAY']
[('N', 0, 1, 'R', 50), 'STAY']
[('N', 0, 1, 'R', 75), 'STAY']
[('N', 0, 1, 'R', 100), 'STAY']
[('N', 0, 2, 'D', 0), 'NONE']
[('N', 0, 2, 'D', 25), 'STAY']
