train error: 13510723304.19212, validation error: 368296592820.6967
train error: 1.2396613509997392e+29, validation error: 2.378390437952552e+29
train error: 2.407075022622389e+39, validation error: 2.449464113028599e+39
train error: 1.1528281758416335e+21, validation error: 2.2529515084815925e+21
train error: 1.3572685587884194e+40, validation error: 1.3810609499414064e+40
train error: 7.808246688260865e+21, validation error: 1.5138280975237739e+22
train error: 1.6383476228737572e+32, validation error: 3.0982499532647855e+32
train error: 9.91370211917013e+40, validation error: 1.0088253544967387e+41
train error: 1.1201134806572998e+29, validation error: 2.1461893315109936e+29
train error: 1.0547068860492375e+22, validation error: 2.0611575301067262e+22
train error: 1.176757550658254e+22, validation error: 2.2997009305486756e+22
train error: 2.8516491067606615e+32, validation error: 5.399921813258206e+32
train error: 2.8594488264850894e+32, validation error: 5.4097175348165e+32
train error: 2.257839520751849e+32, validation error: 4.275570946645317e+32
train error: 1.1430391669655993e+41, validation error: 1.1631641379472432e+41
train error: 1.2957220099510746e+32, validation error: 2.4503963750217854e+32
train error: 4.092064284719883e+25, validation error: 7.935210956140646e+25
train error: 1.8792244124101596e+41, validation error: 1.9123105149324095e+41
train error: 1.2131458054077438e+41, validation error: 1.234505666348427e+41
train error: 5.542201875569513e+21, validation error: 1.083085789352499e+22
train error: 3.5806435412548396e+40, validation error: 3.64368611535054e+40
train error: 2.349143781712532e+25, validation error: 4.552788085406182e+25
train error: 1.3694458454729236e+41, validation error: 1.3935928902809194e+41
train error: 6.651560273247972e+31, validation error: 1.256682264868106e+32
train error: 2.0668100422850272e+40, validation error: 2.1031993184597075e+40
train error: 4.1117108116091314e+24, validation error: 7.882488680903642e+24
train error: 1.8436275234104133e+41, validation error: 1.8760873446233457e+41
train error: 2.2390960256226168e+29, validation error: 4.236015694718952e+29
train error: 5.836224610942391e+40, validation error: 5.938980127203798e+40
train error: 9.806551229112251e+40, validation error: 9.979210202939727e+40
gen: 0 best:381807316124.88885
train error: 7.699891230886344e+39, validation error: 7.835459306581369e+39
train error: 2.9481512697960657e+40, validation error: 3.000057381155009e+40
train error: 4.5892623976680765e+39, validation error: 4.670063002315106e+39
train error: 1.368294531037745e+31, validation error: 2.5858308222155582e+31
train error: 4.09206434844121e+25, validation error: 7.935211079146597e+25
train error: 2.022906505191697e+39, validation error: 2.058522883225031e+39
train error: 3.63215298004155e+31, validation error: 6.871564732787521e+31
train error: 2.9969360412235545e+40, validation error: 3.0497015731179456e+40
train error: 3.8751601681274e+31, validation error: 7.346677447540481e+31
train error: 1.9956478808691353e+31, validation error: 3.756648710410844e+31
train error: 1.592017296702623e+40, validation error: 1.62004334332845e+40
train error: 2.1460903954012627e+31, validation error: 4.069256856969627e+31
train error: 3.7939138323290146e+39, validation error: 3.860466563894661e+39
train error: 4.1496264975114633e+39, validation error: 4.2226852898833335e+39
train error: 2.64270178975015e+28, validation error: 4.999356799823521e+28
gen: 1 best:381807316124.88885
train error: 1.1545232986242909e+28, validation error: 2.2132905874547436e+28
train error: 1.9575705619448586e+39, validation error: 1.9920393195730942e+39
train error: 1.3697710341052686e+31, validation error: 2.588657303240174e+31
train error: 2.8039569152629616e+31, validation error: 5.307829352066703e+31
train error: 1.4911988141066602e+40, validation error: 1.517453612091108e+40
train error: 1.3163552749138286e+31, validation error: 2.4851021459825635e+31
train error: 4.120501487180918e+39, validation error: 4.193049110564837e+39
train error: 1.976548206214881e+40, validation error: 2.0113482888025175e+40
train error: 4.226032662597645e+38, validation error: 4.301119820638456e+38
train error: 2.1770646167406415e+39, validation error: 2.215321010151161e+39
train error: 1.7889224220604636e+40, validation error: 1.820423457046659e+40
train error: 2.3612794045792872e+31, validation error: 4.46664866564364e+31
train error: 1.4687527246454895e+40, validation error: 1.4946110635306572e+40
train error: 5.010417317632764e+25, validation error: 9.715859951529297e+25
train error: 6.687210948725063e+30, validation error: 1.2651600332322246e+31
gen: 2 best:381807316124.88885
train error: 4.5763313784270624e+39, validation error: 4.656910107044951e+39
train error: 3.004758912893394e+39, validation error: 3.0576604141103185e+39
train error: 8.069738432332969e+30, validation error: 1.5280097470999883e+31
train error: 1.141184797506947e+27, validation error: 2.193599729827061e+27
train error: 1.4899479345123449e+27, validation error: 2.8096166533741585e+27
train error: 2.646603615408835e+31, validation error: 5.006878032540798e+31
train error: 1.4534959122073314e+31, validation error: 2.7499794447467614e+31
train error: 1.4674712530529464e+25, validation error: 2.8460725234120193e+25
train error: 8.488332267757472e+39, validation error: 8.637658433138104e+39
train error: 1.0051929462123799e+39, validation error: 1.0228907532631329e+39
train error: 3.0033241191812124e+40, validation error: 3.0562039042564125e+40
train error: 2.0713594830933944e+39, validation error: 2.1077106600579474e+39
train error: 1.5405202166349463e+31, validation error: 2.914480814597472e+31
train error: 5.966505921025089e+37, validation error: 6.069701645417839e+37
train error: 3.1050828681553765e+40, validation error: 3.159752486470351e+40
gen: 3 best:381807316124.88885
train error: 3.2955055697837674e+40, validation error: 3.35352846523545e+40
train error: 1.8866955865470782e+40, validation error: 1.9199320413444725e+40
train error: 3.081289629245261e+31, validation error: 5.823834178110464e+31
train error: 1.2099078604592221e+38, validation error: 1.2309556655964933e+38
train error: 7.787064820573436e+27, validation error: 1.4936053243093368e+28
train error: 2.376360308081571e+23, validation error: 4.692671549138412e+23
train error: 8.835294448597792e+28, validation error: 1.693094234717908e+29
train error: 1.2691350458124618e+39, validation error: 1.291477620789066e+39
train error: 5.5749526439434525e+38, validation error: 5.672188892427004e+38
train error: 1.8813597013845035e+40, validation error: 1.9144838244536878e+40
train error: 2.722710473655469e+31, validation error: 5.148381495306062e+31
train error: 1.085408385979997e+39, validation error: 1.1045178826476101e+39
train error: 2.7292869047820023e+29, validation error: 5.1631635453193585e+29
train error: 5.2921874757358564e+39, validation error: 5.385281727333816e+39
train error: 5.635179877141883e+39, validation error: 5.734292032361361e+39
gen: 4 best:381807316124.88885
train error: 1.4778569962524983e+21, validation error: 2.888155782786865e+21
train error: 2.227700938372121e+39, validation error: 2.2670164810006725e+39
train error: 1.0547074957517726e+22, validation error: 2.061158717072304e+22
train error: 5.6027781751139e+39, validation error: 5.701423432806151e+39
train error: 1.1444991671550235e+28, validation error: 2.1940986601105472e+28
train error: 2.0384789426187815e+27, validation error: 3.9053324711402065e+27
train error: 1.1173802290973382e+40, validation error: 1.1370527202481107e+40
train error: 1.1337485129612388e+27, validation error: 2.1788367311996132e+27
train error: 8.246244703426589e+39, validation error: 8.391431924877655e+39
train error: 1.3936753869252644e+27, validation error: 2.6717898392240475e+27
train error: 1.1699568121604336e+39, validation error: 1.1905550232535085e+39
train error: 3.4177239482262834e+38, validation error: 3.478240069300629e+38
train error: 1.9960507959098387e+40, validation error: 2.0311978631809274e+40
train error: 3.4205978938418974e+39, validation error: 3.480820354851353e+39
train error: 1.4090306050303412e+31, validation error: 2.6645568296077653e+31
gen: 5 best:381807316124.88885
train error: 3.902558326202149e+39, validation error: 3.9712713839536643e+39
train error: 3.4387797531738704e+27, validation error: 6.592422407033613e+27
train error: 3.895170433326488e+31, validation error: 7.369179503644103e+31
train error: 2.568811360919815e+40, validation error: 2.6140012148855435e+40
train error: 1.6816944310355464e+31, validation error: 3.1814557152012532e+31
train error: 2.356237892296352e+25, validation error: 4.567328323314428e+25
train error: 1.5020526541294502e+28, validation error: 2.879612250536367e+28
train error: 5.851058323922206e+29, validation error: 1.1069366528190534e+30
train error: 1.969578331668382e+39, validation error: 2.0043129647577305e+39
train error: 2.347414838859635e+40, validation error: 2.388744583728373e+40
